"","rent","bedroom","livingroom","bathroom","area","room","floor_grp","subway","region","heating"
"86",3372,2,1,1,13,"主卧","低楼层","否","朝阳","自采暖"
"87",3015,3,1,1,10,"次卧","低楼层","否","朝阳","自采暖"
"88",2668,4,1,1,18,"主卧","高楼层","否","通州","集中供暖"
"89",2105,4,1,1,11,"主卧","中楼层","是","通州","集中供暖"
"90",3087,2,1,1,14,"次卧","中楼层","是","石景山","集中供暖"
"91",2626,3,1,1,13,"主卧","高楼层","是","昌平","集中供暖"
"92",3005,2,1,1,15,"主卧","高楼层","是","朝阳","集中供暖"
"93",2634,4,1,1,14,"次卧","中楼层","否","顺义","集中供暖"
"94",2768,3,1,1,10,"次卧","低楼层","是","丰台","集中供暖"
"95",2347,2,1,1,10,"次卧","中楼层","是","通州","集中供暖"
"96",2039,4,1,1,13,"主卧","高楼层","否","顺义","集中供暖"
"97",3112,3,1,1,7,"次卧","高楼层","是","朝阳","集中供暖"
"98",2703,2,1,1,6,"次卧","高楼层","是","海淀","集中供暖"
"99",2504,3,1,1,13,"主卧","中楼层","是","通州","集中供暖"
"100",2413,2,1,1,12,"主卧","高楼层","是","通州","集中供暖"
"101",2540,2,1,1,12,"主卧","高楼层","否","通州","集中供暖"
"102",2543,4,1,1,13,"次卧","中楼层","是","朝阳","自采暖"
"103",2847,2,1,1,12,"主卧","高楼层","是","昌平","集中供暖"
"104",2478,3,1,1,13,"主卧","低楼层","是","朝阳","自采暖"
"105",2558,4,1,2,13,"主卧","低楼层","是","大兴","集中供暖"
"106",3461,4,1,1,11,"次卧","中楼层","是","朝阳","集中供暖"
"107",2580,3,1,1,12,"次卧","中楼层","否","大兴","集中供暖"
"108",2814,2,1,1,9,"主卧","高楼层","否","朝阳","自采暖"
"109",2861,2,1,1,10,"次卧","中楼层","是","东城","集中供暖"
"110",1909,4,1,1,12,"主卧","低楼层","是","房山","集中供暖"
"111",2674,2,1,1,13,"主卧","高楼层","是","通州","集中供暖"
"112",2596,2,1,1,11,"主卧","低楼层","否","大兴","集中供暖"
"113",4282,3,1,1,10,"次卧","中楼层","是","海淀","集中供暖"
"114",3224,3,1,1,13,"主卧","低楼层","是","朝阳","集中供暖"
"115",3743,5,1,1,12,"次卧","低楼层","否","朝阳","集中供暖"
"116",2332,3,1,1,14,"主卧","高楼层","是","通州","集中供暖"
