剧名,类型,播放量,点赞,差评,得分,采集日期
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.21亿,"193,695","52,520",7.9,2015-9-23 23:50:09
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.37亿,"54,008","23,218",7.0,2015-9-23 23:50:09
好男儿之情感护理,null,3230万,"12,581","3,073",8.0,2015-9-23 23:50:09
嘿！真不是闹着玩的,"农村剧

/
喜剧",7235万,"41,982","8,140",8.4,2015-9-23 23:50:10
家有一老,家庭剧,6412万,"23,022","10,426",6.9,2015-9-23 23:50:11
快乐00后第1季,网络剧,115万,"1,121",573,6.6,2015-9-23 23:50:10
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",150万,"3,155",700,8.2,2015/9/23 23:50:12
李大白的道德经,"喜剧
/
网络剧",75.5万,550,371,6.0,2015-9-23 23:50:22
血刃,"军旅剧

/
谍战剧",7919万,"14,645","6,613",6.9,2015-9-23 23:50:20
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1002万,"16,448","8,198",6.7,2015-9-23 23:50:20
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.23亿,"1,051,691","113,585",9.0,2015-9-23 23:50:22
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.05亿,"215,399","65,093",7.7,2015-9-23 23:50:22
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"45,531","9,253",8.3,2015-9-23 23:50:23
我的青春道馆,"网络剧
/
喜剧",169万,"1,823",828,6.9,2015-9-23 23:50:23
成人记2,"偶像剧
/
网络剧
/
青春剧",390万,"4,785","1,679",7.4,2015-9-23 23:50:24
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.81亿,"61,594","11,458",8.4,2015-9-23 23:50:22
终极对决,军旅剧,8950万,"62,120","22,896",7.3,2015/9/23 23:50:39
南侨机工英雄传,年代剧,3913万,"26,721","7,532",7.8,2015-9-23 23:50:40
地雷战,"军旅剧

/
历史剧",1.36亿,"91,036","23,790",7.9,2015-9-23 23:50:40
伪装者未删减版,"谍战剧
/
悬疑剧",3330万,"36,487","5,187",8.8,2015-9-23 23:50:43
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",3247万,"240,105","31,037",8.9,2015-9-23 23:50:45
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",2.54亿,"505,556","115,430",8.1,2015-9-23 23:50:47
大汉情缘之云中歌未删减版,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧",1360万,"23,264","3,455",8.7,2015-9-23 23:50:47
冲出月亮岛,"言情剧

/
年代剧",3118万,"22,767","8,593",7.3,2015-9-23 23:50:47
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",4.70亿,"1,603,968","131,354",9.2,2015/9/23 23:50:52
二十四道拐,"谍战剧

/
军旅剧",3950万,"20,200","6,549",7.6,2015-9-23 23:50:48
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",5.86亿,"711,337","97,470",8.8,2015-9-23 23:50:53
卧底,"谍战剧

/
军旅剧",1.10亿,"65,389","19,809",7.7,2015-9-23 23:50:50
铁甲舰上的男人们DVD版,历史剧,90.5万,620,280,6.9,2015-9-23 23:50:53
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7361万,"202,020","27,749",8.8,2015-9-23 23:50:56
美剧,"喜剧
/
罪案剧",560万,"9,912","4,148",7.0,2015-9-23 23:50:58
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",462万,"4,536","3,909",5.4,2015-9-23 23:51:00
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1136万,"73,884",548,9.9,2015-9-23 23:51:00
太行山上,"历史剧

/
军旅剧",9505万,"60,956","17,842",7.7,2015-9-23 23:51:01
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",4919万,"25,442","7,290",7.8,2015-9-23 23:51:01
我的天啊第2季,"网络剧

/
喜剧",342万,952,"2,898",2.5,2015-9-23 23:51:06
冰与火的青春未删减版,"言情剧

/
偶像剧",331万,"2,978","1,336",6.9,2015-9-23 23:51:03
错伏,谍战剧,2265万,"8,659","4,245",6.7,2015-9-23 23:51:06
爸爸父亲爹,"军旅剧
/
谍战剧",1.34亿,"59,127","22,815",7.2,2015-9-23 23:51:09
今天很上火之奇葩相亲,"喜剧

/
网络剧",546万,"2,377","2,348",5.0,2015-9-23 23:51:11
花千骨2015,"言情剧
/
穿越剧
/
网络剧",3.07亿,"992,342","357,808",7.3,2015-9-23 23:48:48
还珠格格2015,"古装剧

/
喜剧

/
网络剧",73.3万,"2,352","7,240",2.5,2015-9-23 23:48:48
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3454万,"38,746","3,593",9.2,2015-9-23 23:48:52
明若晓溪,"青春剧
/
言情剧
/
偶像剧",1.57亿,"518,660","72,508",8.8,2015-9-23 23:48:51
多情江山,"言情剧
/
古装剧
/
宫廷剧",1126万,"22,553","6,955",7.6,2015-9-23 23:48:52
我是机器人,"偶像剧

/
喜剧",1660万,"37,905","3,605",9.1,2015-9-23 23:48:51
