剧名,类型,播放量,点赞,差评,得分,采集日期
嘿！真不是闹着玩的,"喜剧

/
农村剧",7269万,"42,081","8,367",8.3,2015-9-27 1:02:55
加油吧实习生未删减版,"偶像剧

/
言情剧

/
青春剧",7341万,"160,146","29,642",8.4,2015-9-27 1:03:01
石敢当之雄峙天东,"武侠剧
/
古装剧",3.81亿,"201,440","59,729",7.7,2015-9-27 1:02:51
发明大师,"喜剧
/
网络剧
/
科幻剧",1.41亿,"20,690","3,152",8.7,2015-9-27 1:03:00
当人心遇上仁心,"家庭剧

/
言情剧",3770万,"10,063","3,765",7.3,2015-9-27 1:02:57
血刃,"军旅剧

/
谍战剧",7938万,"14,742","6,592",6.9,2015-9-27 1:02:59
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1010万,"16,707","8,132",6.7,2015-9-27 1:03:05
寒冬,"谍战剧
/
年代剧",9655万,"29,915","4,527",8.7,2015-9-27 1:03:03
聊斋新编,"神话剧
/
古装剧",4.55亿,"153,138","39,911",7.9,2015-9-27 1:03:13
我的青春道馆,"网络剧
/
喜剧",170万,"1,835",832,6.9,2015-9-27 1:03:08
加油吧实习生,"青春剧
/
言情剧
/
偶像剧",16.21亿,"3,127,151","439,429",8.8,2015-9-27 1:03:07
伪装者未删减版,"谍战剧
/
悬疑剧",3913万,"41,749","5,752",8.8,2015-9-27 1:03:13
国产大英雄,"喜剧

/
网络剧",498万,"3,416","2,634",5.6,2015-9-27 1:03:14
好男儿之情感护理,null,3233万,"12,635","3,043",8.1,2015-9-27 1:03:16
两生花,"言情剧
/
偶像剧",6.74亿,"267,997","112,982",7.0,2015-9-27 1:03:20
还珠格格2015,"古装剧

/
喜剧

/
网络剧",599万,"16,769","22,399",4.3,2015-9-27 1:03:20
笑时代,"喜剧

/
粤语电视剧",153万,"2,743","3,609",4.3,2015-9-27 1:03:21
我的媳妇是女王,言情剧,2.34亿,"279,765","53,520",8.4,2015-9-27 1:03:26
爱你一生,"年代剧

/
言情剧",5226万,"10,071","4,193",7.1,2015-9-27 1:03:27
彩虹营业厅,"喜剧

/
网络剧",193万,"4,889","2,403",6.7,2015-9-27 1:03:29
嘿，老头！,null,2.76亿,"148,506","20,573",8.8,2015-9-27 1:03:26
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3644万,"41,442","3,693",9.2,2015-9-27 1:03:26
二胎时代,"家庭剧
/
言情剧",2.51亿,"336,113","56,029",8.6,2015-9-27 1:03:34
神犬小七,偶像剧,5.01亿,"1,487,208","129,103",9.2,2015-9-27 1:03:34
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.02亿,"565,872","133,534",8.1,2015-9-27 1:03:33
东北抗日联军,军旅剧,7941万,"26,940","12,431",6.8,2015-9-27 1:03:39
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.05亿,"217,112","64,784",7.7,2015-9-27 1:03:29
快乐00后第2季,网络剧,135万,"1,331",796,6.3,2015-9-27 1:03:40
神犬小七未删减版,偶像剧,2442万,"64,103","7,329",9.0,2015-9-27 1:03:40
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.21亿,"65,432","19,508",7.7,2015-9-27 1:03:42
快乐00后第1季,网络剧,116万,"1,133",573,6.6,2015-9-27 1:03:39
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3792万,"7,403","3,506",6.8,2015-9-27 1:03:46
仙侠剑,"言情剧

/
武侠剧

/
古装剧",2.25亿,"152,082","80,775",6.5,2015-9-27 1:03:47
妈妈向前冲,"家庭剧

/
言情剧",1.47亿,"68,862","37,520",6.5,2015-9-27 1:03:47
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",150万,"3,163",704,8.2,2015-9-27 1:03:53
学堂故事,"网络剧
/
喜剧",508万,"1,715","1,854",4.8,2015-9-27 1:03:53
马上天下,军旅剧,1.43亿,"34,714","14,448",7.1,2015-9-27 1:03:55
我的天啊第2季,"喜剧

/
网络剧",344万,"1,121","3,086",2.7,2015-9-27 1:03:58
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"45,766","9,320",8.3,2015-9-27 1:03:52
海上孟府,"年代剧

/
言情剧",1.30亿,"31,037","11,187",7.4,2015-9-27 1:03:52
家有一老,家庭剧,6420万,"23,155","10,314",6.9,2015-9-27 1:03:59
烧脑,"网络剧
/
偶像剧",325万,"1,728","1,424",5.5,2015-9-27 1:04:00
剧场,言情剧,1536万,"4,205","2,090",6.7,2015-9-27 1:04:00
于无声处,"罪案剧
/
年代剧",1.31亿,"29,990","8,615",7.8,2015-9-27 1:04:05
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",4.73亿,"1,608,470","131,817",9.2,2015-9-27 1:04:12
劫中劫,谍战剧,8717万,"16,349","7,163",7.0,2015-9-27 1:04:06
离婚协议,null,3942万,"8,633","4,954",6.4,2015-9-27 1:04:08
我的抗战之铁血轻奇兵,军旅剧,1.05亿,"20,579","5,741",7.8,2015-9-27 1:04:13
聊斋新编未删减版,"神话剧

/
古装剧",4901万,"12,958","2,743",8.3,2015-9-27 1:04:13
家有一老,家庭剧,6420万,"23,155","10,314",6.9,2015-9-27 1:04:12
猜拳,"悬疑剧

/
谍战剧",6948万,"10,486","5,163",6.7,2015-9-27 1:04:18
地下地上之大陆小岛,"谍战剧

/
军旅剧",3441万,"20,350","5,752",7.8,2015-9-27 1:04:23
女人的抗战未删减版,谍战剧,788万,"1,522","1,122",5.8,2015-9-27 1:04:21
明若晓溪,"青春剧
/
言情剧
/
偶像剧",2.08亿,"647,419","86,991",8.8,2015-9-27 1:04:20
坐88路车回家,言情剧,7910万,"16,549","4,532",7.9,2015-9-27 1:04:19
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.23亿,"196,039","52,892",7.9,2015-9-27 1:04:26
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.38亿,"54,450","23,120",7.0,2015-9-27 1:04:26
李大白的道德经,"喜剧
/
网络剧",75.9万,550,373,6.0,2015-9-27 1:04:31
错伏,谍战剧,2284万,"8,725","4,290",6.7,2015-9-27 1:04:26
铁核桃,"年代剧

/
谍战剧",2.46亿,"55,164","18,408",7.5,2015-9-27 1:04:32
出关,null,4438万,"9,807","4,108",7.0,2015-9-27 1:04:34
铁甲舰上的男人们DVD版,历史剧,96.1万,647,289,6.9,2015-9-27 1:04:34
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.24亿,"1,053,316","113,248",9.0,2015-9-27 1:04:39
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.81亿,"61,791","11,485",8.4,2015-9-27 1:04:40
终极对决,军旅剧,1.13亿,"75,471","28,064",7.3,2015-9-27 1:04:36
壮丁也是兵,军旅剧,2.25亿,"45,193","17,839",7.2,2015-9-27 1:04:40
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",5.90亿,"714,082","97,879",8.8,2015-9-27 1:04:36
爸爸父亲爹,"军旅剧
/
谍战剧",1.34亿,"59,379","22,838",7.2,2015-9-27 1:04:47
克拉恋人,"青春剧
/
言情剧
/
偶像剧",27.89亿,"5,297,611","935,651",8.5,2015-9-27 1:04:49
下一站婚姻,"家庭剧
/
言情剧",4.41亿,"116,942","38,892",7.5,2015-9-27 1:04:54
淑女涩男,青春剧,1.76亿,"65,171","8,598",8.8,2015-9-27 1:04:49
好大一个家,家庭剧,1.28亿,"60,142","11,873",8.4,2015-9-27 1:04:45
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.96亿,"977,202","155,343",8.6,2015-9-27 1:04:47
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",175万,"1,926",803,7.1,2015-9-27 1:04:58
前夫求爱记未删减版,喜剧,1570万,"4,286","1,761",7.1,2015-9-27 1:05:02
空巢姥爷,"家庭剧

/
言情剧",3507万,"10,236","3,140",7.7,2015-9-27 1:05:00
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",7251万,"440,113","65,090",8.7,2015-9-27 1:05:07
别让我看见,"言情剧

/
悬疑剧",5730万,"24,837","5,196",8.3,2015-9-27 1:05:08
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7397万,"202,451","27,873",8.8,2015-9-27 1:05:11
律师岳家军,网络剧,536万,"1,587",784,6.7,2015-9-27 1:05:13
南侨机工英雄传,年代剧,4396万,"29,280","7,957",7.9,2015-9-27 1:05:05
今天很上火之奇葩相亲,"喜剧

/
网络剧",549万,"2,415","2,368",5.0,2015-9-27 1:05:02
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",3.01亿,"590,078","129,329",8.2,2015-9-27 1:05:13
大汉情缘之云中歌未删减版,"宫廷剧
/
言情剧
/
古装剧
/
偶像剧",1676万,"30,182","4,373",8.7,2015-9-27 1:05:14
美剧,"喜剧
/
罪案剧",635万,"10,123","4,117",7.1,2015-9-27 1:05:18
前夫求爱记,"喜剧
/
言情剧",1.92亿,"56,268","17,227",7.7,2015-9-27 1:05:15
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",466万,"4,608","3,968",5.4,2015-9-27 1:05:20
千金女贼未删减版,"年代剧

/
偶像剧",3969万,"31,552","8,128",8.0,2015-9-27 1:05:21
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",513万,"7,744","5,912",5.7,2015-9-27 1:05:24
傲魂之活死人,"网络剧

/
悬疑剧",3754万,"11,243","1,748",8.7,2015-9-27 1:05:15
不能没有家,"家庭剧

/
言情剧",2775万,"7,234","3,587",6.7,2015-9-27 1:05:26
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1156万,"74,272",542,9.9,2015-9-27 1:05:26
我的宝贝,"言情剧
/
偶像剧",3.19亿,"183,706","52,020",7.8,2015-9-27 1:05:33
太行山上,"历史剧

/
军旅剧",9584万,"61,418","17,950",7.7,2015-9-27 1:05:27
抉择,历史剧,2642万,"8,199","3,698",6.9,2015-9-27 1:05:31
末代皇帝传奇,"历史剧

/
宫廷剧",7805万,"24,876","4,546",8.5,2015-9-27 1:05:28
泪洒女人花,"言情剧

/
年代剧",1.99亿,"60,978","38,743",6.1,2015-9-27 1:05:28
火线英雄,军旅剧,2756万,"15,393","4,360",7.8,2015-9-27 1:05:40
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",513万,"7,744","5,912",5.7,2015-9-27 1:05:37
光影,"军旅剧

/
年代剧",1.67亿,"49,106","15,340",7.6,2015-9-27 1:05:41
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3207万,"18,271","4,485",8.0,2015-9-27 1:05:42
罗龙镇女人,年代剧,2.68亿,"76,796","27,661",7.4,2015-9-27 1:05:39
战魂,军旅剧,1.34亿,"39,213","9,296",8.1,2015-9-27 1:05:39
二婶,"家庭剧
/
言情剧",9511万,"22,247","10,701",6.8,2015-9-27 1:05:44
玩转APP,"喜剧

/
网络剧",1941万,421,348,5.5,2015-9-27 1:05:46
女人的抗战,谍战剧,7477万,"12,076","3,471",7.8,2015-9-27 1:05:50
冲出月亮岛,"言情剧

/
年代剧",3468万,"24,914","9,142",7.3,2015-9-27 1:05:55
刑警队长,罪案剧,2.80亿,"77,960","16,652",8.2,2015-9-27 1:05:52
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.96亿,"252,404","66,526",7.9,2015-9-27 1:05:53
出关未删减版,null,516万,"1,015",558,6.5,2015-9-27 1:05:58
婚前协议,"家庭剧

/
言情剧",1.46亿,"29,709","16,302",6.5,2015-9-27 1:05:59
九星天辰诀,"古装剧
/
网络剧",2998万,"29,303","21,000",5.8,2015-9-27 1:06:03
爱的秘笈,"偶像剧

/
言情剧",1.22亿,"53,204","5,573",9.1,2015-9-27 1:06:05
伙伴夫妻,"言情剧

/
家庭剧",6495万,"10,429","5,022",6.7,2015-9-27 1:06:06
二十四道拐,"谍战剧

/
军旅剧",4734万,"23,587","7,791",7.5,2015-9-27 1:06:06
大村官之放飞梦想,农村剧,5265万,"16,774","6,212",7.3,2015-9-27 1:06:11
卧底,"谍战剧

/
军旅剧",1.19亿,"69,183","21,050",7.7,2015-9-27 1:06:07
突围突围,言情剧,8082万,"20,004","7,550",7.3,2015-9-27 1:06:12
长大,"青春剧
/
言情剧",4.19亿,"386,963","52,008",8.8,2015-9-27 1:05:55
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",4978万,"25,680","7,380",7.8,2015-9-27 1:06:09
如果爱可以重来,"言情剧
/
偶像剧",7122万,"38,890","12,165",7.6,2015-9-27 1:06:18
克拉恋人未删减版,"言情剧

/
偶像剧",1670万,"26,095","11,653",6.9,2015-9-27 1:06:22
wait酒吧,"喜剧

/
网络剧",379万,"2,189","4,398",3.3,2015-9-27 1:06:24
我爷爷和奶奶的故事,"军旅剧
/
言情剧",4766万,"10,773","3,489",7.6,2015-9-27 1:06:19
左手劈刀,军旅剧,2.85亿,"152,775","52,556",7.4,2015-9-27 1:06:25
冰与火的青春未删减版,"言情剧

/
偶像剧",348万,"3,098","1,394",6.9,2015-9-27 1:06:19
大刀记,军旅剧,2.68亿,"59,506","22,142",7.3,2015-9-27 1:06:16
猎魔,"军旅剧

/
历史剧

/
谍战剧",5782万,"11,844","7,010",6.3,2015-9-27 1:06:25
我们家的微幸福生活,"家庭剧

/
言情剧",3433万,"13,508","3,859",7.8,2015-9-27 1:06:31
宅男的恋爱养成,"网络剧
/
喜剧",135万,"1,197",643,6.5,2015-9-27 1:06:32
偏偏喜欢你,"军旅剧
/
年代剧
/
偶像剧",10.86亿,"659,189","153,821",8.1,2015-9-27 1:06:32
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3687万,"25,207","5,839",8.1,2015-9-27 1:06:35
婚姻时差,"家庭剧
/
言情剧",1.03亿,"22,068","9,215",7.1,2015-9-27 1:06:37
仙侠剑未删减版,"言情剧

/
武侠剧

/
古装剧",616万,"4,206","2,425",6.3,2015-9-27 1:06:38
爱情不打烊,言情剧,4066万,"18,567","6,494",7.4,2015-9-27 1:06:51
少年四大名捕杨洋特辑,"古装剧
/
偶像剧
/
悬疑剧",562万,"18,806",513,9.7,2015-9-27 1:07:04
锦绣缘华丽冒险,"言情剧
/
年代剧
/
偶像剧",11.45亿,"951,744","160,520",8.6,2015-9-27 1:07:05
杀寇决,"悬疑剧

/
谍战剧

/
历史剧",1.23亿,"37,443","9,047",8.1,2015-9-27 1:06:24
绝地刀锋,"军旅剧

/
谍战剧",1.27亿,"23,528","8,196",7.4,2015-9-27 1:06:45
南方怂人帮,"网络剧

/
喜剧",80.2万,510,484,5.1,2015-9-27 1:06:58
铁甲舰上的男人们,历史剧,4077万,"10,081","1,053",9.1,2015-9-27 1:06:51
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3687万,"25,207","5,839",8.1,2015-9-27 1:06:48
王大花的革命生涯,"谍战剧
/
喜剧",2.69亿,"63,043","19,692",7.6,2015-9-27 1:07:01
隋唐英雄5TV版,古装剧,6823万,"36,640","7,826",8.2,2015-9-27 1:07:11
封神英雄,"神话剧
/
武侠剧
/
古装剧",7.75亿,"627,285","141,428",8.2,2015-9-27 1:07:14
嘻哈白蛇传,"喜剧
/
网络剧",1897万,"70,807","25,117",7.4,2015-9-27 1:07:18
陆小凤与花满楼,"武侠剧
/
古装剧",3.29亿,"131,947","26,257",8.3,2015-9-27 1:07:24
妻子的谎言,言情剧,12.65亿,"549,842","115,176",8.3,2015-9-27 1:07:17
别叫我兄弟,"青春剧

/
言情剧

/
年代剧",1.71亿,"69,663","15,304",8.2,2015-9-27 1:07:19
毕业歌,年代剧,3240万,"38,565","9,325",8.1,2015-9-27 1:07:29
隋唐英雄5,古装剧,1.52亿,"97,918","20,340",8.3,2015-9-27 1:07:31
美剧,"罪案剧
/
悬疑剧",230万,"4,285","1,653",7.2,2015-9-27 1:07:31
邻居也疯狂,"家庭剧

/
喜剧",1.02亿,"52,453","9,696",8.4,2015-9-27 1:07:27
爱你不放手,"家庭剧

/
言情剧",4237万,"13,227","5,654",7.0,2015-9-27 1:07:45
生死兄弟情,军旅剧,2645万,"5,256","4,590",5.3,2015-9-27 1:07:44
大舜,"历史剧

/
古装剧",1.41亿,"140,399","43,900",7.6,2015-9-27 1:07:42
男神执事团,"偶像剧
/
青春剧
/
网络剧",4007万,"225,370","15,573",9.4,2015-9-27 1:07:54
少年四大名捕茅子俊cut集锦,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",301万,"1,873",914,6.7,2015-9-27 1:07:57
你是我的姐妹,言情剧,7.83亿,"423,125","140,953",7.5,2015-9-27 1:07:55
东北剿匪记,null,1.34亿,"19,314","7,224",7.3,2015-9-27 1:08:10
少年四大名捕,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",12.88亿,"922,655","119,643",8.9,2015-9-27 1:08:08
小爸妈未删减版,"家庭剧

/
言情剧

/
偶像剧",3120万,"25,425","9,473",7.3,2015-9-27 1:08:08
办公室大爆炸,喜剧,415万,"2,941","2,041",5.9,2015-9-27 1:08:21
生死连,军旅剧,3.22亿,"74,207","28,040",7.3,2015-9-27 1:08:22
平凡的世界,农村剧,4.72亿,"274,626","49,028",8.5,2015-9-27 1:08:24
西游之妖怪别跑,"喜剧
/
网络剧",1043万,"14,514","5,382",7.3,2015-9-27 1:08:35
敢爱,"青春剧

/
言情剧",2.08亿,"98,485","44,717",6.9,2015-9-27 1:08:34
急诊室故事,null,6682万,"40,124","5,477",8.8,2015-9-27 1:08:37
妻子的谎言未删减版,言情剧,1.04亿,"34,909","4,590",8.8,2015-9-27 1:08:49
何以笙箫默,"青春剧
/
言情剧
/
偶像剧",22.05亿,"2,096,508","223,144",9.0,2015-9-27 1:08:48
冤家亲家,家庭剧,2211万,"7,807","2,602",7.5,2015-9-27 1:09:03
何以笙箫默精华版,"偶像剧
/
言情剧",1247万,"19,138","5,176",7.9,2015-9-27 1:09:16
花千骨2015,"穿越剧
/
言情剧
/
网络剧",4.18亿,"1,265,332","404,641",7.6,2015-9-27 1:40:26
多情江山,"宫廷剧
/
言情剧
/
古装剧",4878万,"74,609","20,419",7.9,2015-9-27 1:40:18
生死血符,年代剧,1389万,"11,520","3,524",7.7,2015-9-27 1:40:24
孤雁,"言情剧

/
年代剧",36.0万,539,309,6.4,2015-9-27 1:40:24
伪装者,"谍战剧
/
悬疑剧",8.87亿,"1,136,807","119,787",9.0,2015-9-27 1:40:20
我是机器人,"偶像剧

/
喜剧",2952万,"57,905","5,562",9.1,2015-9-27 1:40:27
夺宝传奇,"年代剧

/
悬疑剧",412万,"5,282","2,808",6.5,2015-9-27 1:40:20
琅琊榜,"历史剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",2.66亿,"704,272","27,821",9.6,2015-9-27 1:40:20
地雷战,"军旅剧

/
历史剧",1.68亿,"110,164","28,705",7.9,2015-9-27 1:40:20
铁在烧,"军旅剧
/
言情剧
/
谍战剧",4.23亿,"289,929","69,924",8.1,2015-9-27 1:40:31
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",8514万,"44,576","17,678",7.2,2015-9-27 1:40:37
最佳前男友,"言情剧
/
偶像剧",5.89亿,"607,153","98,241",8.6,2015-9-27 1:40:37
伪装者未删减版,"谍战剧
/
悬疑剧",3917万,"41,774","5,763",8.8,2015-9-27 1:40:37
少年四大名捕冷血张翰特辑,"古装剧
/
偶像剧
/
悬疑剧",816万,"8,930","1,605",8.5,2015-9-27 1:40:33
花千骨,"言情剧
/
古装剧
/
偶像剧",66.69亿,"8,369,675","1,766,544",8.3,2015-9-27 1:40:33
致匆匆那些年,"言情剧

/
青春剧

/
网络剧",630万,"25,569","2,437",9.1,2015-9-27 1:40:33
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",3.94亿,"261,888","85,581",7.5,2015-9-27 1:40:33
二胎时代未删减版,"言情剧

/
家庭剧",2247万,"24,370","3,090",8.9,2015-9-27 1:40:39
小爸妈,"家庭剧

/
言情剧

/
偶像剧",2.17亿,"190,622","53,547",7.8,2015-9-27 1:40:44
我的媳妇是女王,言情剧,2.34亿,"279,782","53,524",8.4,2015-9-27 1:40:50
英雄祭,"军旅剧
/
年代剧",1.81亿,"83,818","40,035",6.8,2015-9-27 1:40:46
鸳鸯佩,"言情剧

/
年代剧",2.69亿,"261,479","98,552",7.3,2015-9-27 1:40:40
校花的贴身高手,"青春剧
/
言情剧
/
网络剧
/
偶像剧",7.50亿,"2,342,099","500,448",8.2,2015-9-27 1:40:46
大道通天,年代剧,2071万,"11,565","5,226",6.9,2015-9-27 1:40:46
绝命追踪,悬疑剧,6499万,"73,573","2,686",9.6,2015-9-27 1:40:47
加油吧实习生未删减版,"偶像剧

/
言情剧

/
青春剧",7341万,"160,154","29,644",8.4,2015-9-27 1:40:52
香火,家庭剧,8081万,"35,402","4,285",8.9,2015-9-27 1:40:57
少年神探狄仁杰,"古装剧
/
悬疑剧",3.87亿,"655,478","75,474",9.0,2015-9-27 1:40:50
冰与火的青春,"青春剧
/
言情剧
/
偶像剧",6.62亿,"786,509","196,157",8.0,2015-9-27 1:40:50
闪亮茗天,"青春剧
/
言情剧",5.43亿,"234,058","47,626",8.3,2015-9-27 1:40:59
加油吧实习生,"青春剧
/
言情剧
/
偶像剧",16.21亿,"3,127,187","439,435",8.8,2015-9-27 1:40:53
怒放,军旅剧,9941万,"23,749","7,421",7.6,2015-9-27 1:40:59
后海不是海,"家庭剧

/
言情剧",1.19亿,"29,840","12,357",7.1,2015-9-27 1:40:59
茗天闪亮,"青春剧

/
言情剧",2201万,"17,234","3,556",8.3,2015-9-27 1:41:00
国产大英雄,"喜剧

/
网络剧",498万,"3,416","2,634",5.6,2015-9-27 1:41:05
null,null,null,null,null,null,2015-9-27 1:41:03
发明大师,"喜剧
/
网络剧
/
科幻剧",1.41亿,"20,690","3,152",8.7,2015-9-27 1:41:04
东北抗日联军,军旅剧,7941万,"26,940","12,431",6.8,2015-9-27 1:41:03
两生花,"言情剧
/
偶像剧",6.74亿,"268,001","112,982",7.0,2015-9-27 1:41:07
少年四大名捕未删减版,"悬疑剧
/
偶像剧
/
言情剧
/
武侠剧
/
古装剧",1.33亿,"50,096","5,323",9.0,2015-9-27 1:41:10
特警力量,"罪案剧
/
军旅剧",20.19亿,"641,982","72,843",9.0,2015-9-27 1:41:16
聊斋新编,"神话剧
/
古装剧",4.55亿,"153,138","39,915",7.9,2015-9-27 1:41:17
海上孟府,"年代剧

/
言情剧",1.30亿,"31,042","11,189",7.4,2015-9-27 1:41:16
特警力量未删减版,"罪案剧

/
军旅剧",5087万,"24,718","7,366",7.7,2015-9-27 1:41:12
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.02亿,"565,873","133,535",8.1,2015-9-27 1:41:20
侯天明的梦,"青春剧

/
喜剧",1584万,"3,546","1,776",6.7,2015-9-27 1:41:12
完美案件,"网络剧
/
悬疑剧",925万,"8,438","2,273",7.9,2015-9-27 1:41:12
爱情公寓番外篇,网络剧,2.38亿,"200,172","27,536",8.8,2015-9-27 1:41:13
爱你一生,"年代剧

/
言情剧",5226万,"10,071","4,195",7.1,2015-9-27 1:41:18
边关烽火情,null,7610万,"11,599","3,322",7.8,2015-9-27 1:41:23
于无声处,"罪案剧
/
年代剧",1.31亿,"29,992","8,615",7.8,2015-9-27 1:41:30
婆媳的战国时代,"言情剧

/
家庭剧",2.03亿,"45,237","26,222",6.3,2015-9-27 1:41:25
天使的城,言情剧,4.19亿,"206,918","28,523",8.8,2015-9-27 1:41:25
暖男的爱情与战争,家庭剧,3103万,"6,352","3,462",6.5,2015-9-27 1:41:25
男神经,"喜剧
/
网络剧",1196万,"6,522","1,682",7.9,2015-9-27 1:41:26
快乐00后第2季,网络剧,135万,"1,331",796,6.3,2015-9-27 1:41:32
兵变1929,"年代剧

/
谍战剧",5585万,"15,765","5,337",7.5,2015-9-27 1:41:36
寒冬,"谍战剧
/
年代剧",9655万,"29,915","4,529",8.7,2015-9-27 1:41:29
嘿，老头！,null,2.76亿,"148,506","20,573",8.8,2015-9-27 1:41:30
信访局长,null,843万,"1,829","1,372",5.7,2015-9-27 1:41:38
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3792万,"7,403","3,506",6.8,2015-9-27 1:41:33
石敢当之雄峙天东,"武侠剧
/
古装剧",3.81亿,"201,440","59,731",7.7,2015-9-27 1:41:38
淑女之家,"家庭剧
/
言情剧
/
年代剧
/
悬疑剧",1.45亿,"122,050","16,379",8.8,2015-9-27 1:41:38
嘿！真不是闹着玩的,"喜剧

/
农村剧",7269万,"42,081","8,367",8.3,2015-9-27 1:41:39
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",150万,"3,165",704,8.2,2015-9-27 1:41:45
好男儿之情感护理,null,3233万,"12,635","3,043",8.1,2015-9-27 1:41:42
快乐00后第1季,网络剧,116万,"1,133",573,6.6,2015-9-27 1:41:43
猜拳,"悬疑剧

/
谍战剧",6949万,"10,486","5,163",6.7,2015-9-27 1:41:43
家有一老,家庭剧,6420万,"23,155","10,314",6.9,2015-9-27 1:41:46
青春正能量之我是女神,"青春剧

/
偶像剧",1.45亿,"84,399","12,743",8.7,2015-9-27 1:41:50
李大白的道德经,"喜剧
/
网络剧",75.9万,550,373,6.0,2015-9-27 1:41:56
当人心遇上仁心,"家庭剧

/
言情剧",3770万,"10,063","3,765",7.3,2015-9-27 1:41:51
我的青春道馆,"网络剧
/
喜剧",170万,"1,835",832,6.9,2015-9-27 1:41:52
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1010万,"16,707","8,132",6.7,2015-9-27 1:41:51
血刃,"军旅剧

/
谍战剧",7938万,"14,742","6,592",6.9,2015-9-27 1:41:51
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.05亿,"217,115","64,787",7.7,2015-9-27 1:41:55
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"45,766","9,320",8.3,2015-9-27 1:41:56
成人记2,"偶像剧
/
网络剧
/
青春剧",393万,"4,810","1,696",7.4,2015-9-27 1:41:59
还珠格格2015,"古装剧

/
喜剧

/
网络剧",601万,"16,786","22,453",4.3,2015-9-27 1:42:12
笑时代,"喜剧

/
粤语电视剧",153万,"2,745","3,609",4.3,2015-9-27 1:42:12
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3645万,"41,442","3,696",9.2,2015-9-27 1:42:14
彩虹营业厅,"喜剧

/
网络剧",194万,"4,889","2,405",6.7,2015-9-27 1:42:14
我的天啊第2季,"喜剧

/
网络剧",344万,"1,123","3,086",2.7,2015-9-27 1:42:14
地下地上之大陆小岛,"谍战剧

/
军旅剧",3444万,"20,360","5,758",7.8,2015-9-27 1:42:14
明若晓溪,"青春剧
/
言情剧
/
偶像剧",2.08亿,"647,633","87,065",8.8,2015-9-27 1:42:17
终极对决,军旅剧,1.13亿,"75,505","28,092",7.3,2015-9-27 1:42:20
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",175万,"1,928",803,7.1,2015-9-27 1:42:24
二胎时代,"家庭剧
/
言情剧",2.51亿,"336,120","56,035",8.6,2015-9-27 1:42:25
神犬小七,偶像剧,5.01亿,"1,487,228","129,114",9.2,2015-9-27 1:42:25
神犬小七未删减版,偶像剧,2442万,"64,106","7,329",9.0,2015-9-27 1:42:27
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.21亿,"65,432","19,510",7.7,2015-9-27 1:42:27
